file,title,sort_title,year,slug,gutenberg_url
a book of worthies.qmd,Charlotte Yonge's Book of Worthies (1869) - online text,Charlotte Yonge's Book of Worthies (1869) - online text,1869,a book of worthies,NA
a shilling book of golden deeds.qmd,A Shilling Book of Golden Deeds - by Charlotte Mary Yonge(1864),Shilling Book of Golden Deeds - by Charlotte Mary Yonge(1864),1867,a shilling book of golden deeds,NA
abbey_church.qmd,"Abbeychurch, or Self control and self conceit","Abbeychurch, or Self control and self conceit",1844,abbey_church,https://www.gutenberg.org/ebooks/4267
apple of discord.qmd,The apple of discord - by Charlotte Mary Yonge(1864),apple of discord - by Charlotte Mary Yonge(1864),1864,apple of discord,NA
armourers_prentices.qmd,The Armourer's 'Prentices,Armourer's 'Prentices,1883-1884,armourers_prentices,https://www.gutenberg.org/ebooks/9959
astray.qmd,Astray,Astray,NA,astray,NA
Aunt Charlotte's evenings at home with the poets.qmd,Aunt Charlotte's evenings at home with the poets,Aunt Charlotte's evenings at home with the poets,1881,Aunt Charlotte's evenings at home with the poets,NA
Aunt_bible.qmd,Aunt Charlotte's Stories of Bible History for the little ones,Aunt Charlotte's Stories of Bible History for the little ones,1875,Aunt_bible,NA
Aunt_English.qmd,Aunt Charlotte's Stories of English History for the little ones,Aunt Charlotte's Stories of English History for the little ones,1873,Aunt_English,https://www.gutenberg.org/ebooks/4769
Aunt_German.qmd,Aunt Charlotte's Stories of German History for the little ones,Aunt Charlotte's Stories of German History for the little ones,NA,Aunt_German,NA
Aunt_Roman.qmd,Aunt Charlotte's Stories of Roman History for the little ones,Aunt Charlotte's Stories of Roman History for the little ones,NA,Aunt_Roman,NA
authorship.qmd,Authorship,Authorship,NA,authorship,NA
A_man_of_other_days-Marquis_Henry_Joseph_Costa.qmd,Memoirs of Colonel Bugeaud - translated and edited by Charlotte Mary Yonge (1884),Memoirs of Colonel Bugeaud - translated and edited by Charlotte Mary Yonge (1884),1877,A_man_of_other_days-Marquis_Henry_Joseph_Costa,NA
beechcroft_at_rockstone.qmd,Details of Charlotte Yonge's novel Beechcroft at Rockstone,Details of Charlotte Yonge's novel Beechcroft at Rockstone,1888,beechcroft_at_rockstone,NA
Ben Sylvester's Word.qmd,Ben Sylvester's Word,Ben Sylvester's Word,1856,Ben Sylvester's Word,NA
Biographies of Good Women.qmd,Biographies of Good Women,Biographies of Good Women,NA,Biographies of Good Women,NA
